pageurl,score,support,against,replyno,year,month,day,hour,minute,second
http://movie.douban.com/review/7679674/,50,3310,297,166,2015,12,3,17,56,56
http://movie.douban.com/review/7692485/,40,1471,198,206,2015,12,16,0,3,30
http://movie.douban.com/review/7691415/,40,1297,131,185,2015,12,15,0,46,20
http://movie.douban.com/review/7694731/,50,1326,259,110,2015,12,17,23,6,9
http://movie.douban.com/review/7694402/,40,958,209,129,2015,12,17,18,2,26
http://movie.douban.com/review/7695385/,40,685,127,70,2015,12,18,16,9,54
http://movie.douban.com/review/7698733/,30,391,128,110,2015,12,21,13,58,41
http://movie.douban.com/review/7695402/,40,535,39,42,2015,12,18,16,21,57
http://movie.douban.com/review/7696102/,10,541,192,332,2015,12,19,10,11,25
http://movie.douban.com/review/7677372/,40,591,300,23,2015,12,1,12,2,33
http://movie.douban.com/review/7694355/,40,202,28,29,2015,12,17,17,21,18
http://movie.douban.com/review/7690175/,40,205,26,47,2015,12,14,0,36,5
http://movie.douban.com/review/7698481/,20,792,429,255,2015,12,21,10,46,30
http://movie.douban.com/review/7690136/,40,203,17,14,2015,12,13,23,51,56
http://movie.douban.com/review/7691065/,40,301,139,17,2015,12,14,20,18,56
http://movie.douban.com/review/7696457/,20,472,239,92,2015,12,19,17,25,39
http://movie.douban.com/review/7705480/,40,60,4,5,2015,12,26,14,26,14
http://movie.douban.com/review/7695983/,50,138,11,18,2015,12,19,1,18,58
http://movie.douban.com/review/7692405/,50,192,36,12,2015,12,15,22,56,13
http://movie.douban.com/review/7697280/,50,68,15,9,2015,12,20,12,49,0
http://movie.douban.com/review/7701465/,40,53,3,22,2015,12,23,15,48,4
http://movie.douban.com/review/7694799/,40,103,16,18,2015,12,18,0,46,40
http://movie.douban.com/review/7696437/,30,102,35,34,2015,12,19,17,6,48
http://movie.douban.com/review/7697157/,20,67,18,13,2015,12,20,10,7,11
http://movie.douban.com/review/7699469/,40,30,1,5,2015,12,21,22,50,41
http://movie.douban.com/review/7695566/,40,164,29,32,2015,12,18,18,54,55
http://movie.douban.com/review/7402177/,50,200,60,36,2015,3,10,0,25,39
http://movie.douban.com/review/7695534/,50,84,17,9,2015,12,18,17,58,51
http://movie.douban.com/review/7698222/,50,42,9,10,2015,12,20,23,51,50
http://movie.douban.com/review/7695681/,40,39,6,9,2015,12,18,21,13,28
http://movie.douban.com/review/7696261/,30,50,11,3,2015,12,19,13,37,18
http://movie.douban.com/review/7702007/,40,14,0,0,2015,12,23,23,18,25
http://movie.douban.com/review/7701019/,10,29,5,7,2015,12,23,9,42,18
http://movie.douban.com/review/7696574/,20,144,74,45,2015,12,19,19,39,7
http://movie.douban.com/review/7700671/,40,25,7,2,2015,12,22,22,23,26
http://movie.douban.com/review/7699641/,40,27,5,2,2015,12,22,1,51,56
http://movie.douban.com/review/7697756/,30,42,11,12,2015,12,20,19,28,4
http://movie.douban.com/review/7695115/,50,82,15,7,2015,12,18,13,1,32
http://movie.douban.com/review/7695702/,50,29,4,4,2015,12,18,21,32,0
http://movie.douban.com/review/7696475/,40,51,8,19,2015,12,19,17,47,43
http://movie.douban.com/review/7696894/,50,37,4,20,2015,12,19,23,11,26
http://movie.douban.com/review/7695624/,50,24,6,2,2015,12,18,20,16,36
http://movie.douban.com/review/7695348/,50,43,11,1,2015,12,18,15,44,54
http://movie.douban.com/review/7698503/,40,12,0,1,2015,12,21,11,6,25
http://movie.douban.com/review/7696757/,40,13,4,3,2015,12,19,21,50,3
http://movie.douban.com/review/7695915/,30,9,3,2,2015,12,19,0,9,17
http://movie.douban.com/review/7695630/,50,18,1,7,2015,12,18,20,32,14
http://movie.douban.com/review/7696370/,40,31,8,9,2015,12,19,15,54,44
http://movie.douban.com/review/7696067/,30,21,10,14,2015,12,19,9,27,46
http://movie.douban.com/review/7695345/,40,16,2,2,2015,12,18,15,43,36
http://movie.douban.com/review/7704173/,40,7,1,0,2015,12,25,16,13,28
http://movie.douban.com/review/7694863/,50,31,8,9,2015,12,18,7,7,1
http://movie.douban.com/review/7694859/,50,22,3,3,2015,12,18,5,29,39
http://movie.douban.com/review/7695935/,50,32,11,8,2015,12,19,0,21,35
http://movie.douban.com/review/7695896/,50,10,1,2,2015,12,18,23,53,1
http://movie.douban.com/review/7697884/,20,23,6,9,2015,12,20,20,46,29
http://movie.douban.com/review/7696216/,40,11,1,2,2015,12,19,12,46,3
http://movie.douban.com/review/7702349/,20,8,3,1,2015,12,24,11,2,47
http://movie.douban.com/review/7699147/,20,6,1,3,2015,12,21,18,17,3
http://movie.douban.com/review/7696989/,40,8,1,4,2015,12,20,0,1,19
http://movie.douban.com/review/7699271/,40,10,3,0,2015,12,21,20,30,28
http://movie.douban.com/review/7696452/,50,14,1,8,2015,12,19,17,22,20
http://movie.douban.com/review/7699442/,40,1,0,0,2015,12,21,22,33,39
http://movie.douban.com/review/7696360/,50,8,1,1,2015,12,19,15,47,43
http://movie.douban.com/review/7696326/,50,8,2,2,2015,12,19,15,9,50
http://movie.douban.com/review/7704439/,40,5,0,0,2015,12,25,19,42,8
http://movie.douban.com/review/7703794/,10,7,2,5,2015,12,25,12,2,55
http://movie.douban.com/review/7697988/,50,2,0,0,2015,12,20,21,50,27
http://movie.douban.com/review/7706076/,50,1,0,0,2015,12,26,20,31,0
http://movie.douban.com/review/7705681/,40,2,0,2,2015,12,26,16,20,20
http://movie.douban.com/review/7698335/,50,19,11,9,2015,12,21,4,6,16
http://movie.douban.com/review/7698192/,50,5,0,2,2015,12,20,23,26,3
http://movie.douban.com/review/7695731/,40,18,8,3,2015,12,18,21,51,59
http://movie.douban.com/review/7698373/,40,13,1,1,2015,12,21,9,3,1
http://movie.douban.com/review/7699471/,30,4,3,0,2015,12,21,22,52,0
http://movie.douban.com/review/7701187/,30,3,2,0,2015,12,23,11,28,39
http://movie.douban.com/review/7706361/,30,1,1,0,2015,12,26,22,29,13
http://movie.douban.com/review/7705088/,50,2,0,0,2015,12,26,8,17,7
http://movie.douban.com/review/7698202/,30,9,4,8,2015,12,20,23,37,59
http://movie.douban.com/review/7698277/,40,3,0,2,2015,12,21,0,40,24
http://movie.douban.com/review/7695704/,40,13,3,1,2015,12,18,21,35,29
http://movie.douban.com/review/7699566/,40,3,0,0,2015,12,21,23,51,17
http://movie.douban.com/review/7698863/,40,2,0,0,2015,12,21,15,13,52
http://movie.douban.com/review/7697854/,40,1,0,0,2015,12,20,20,26,48
http://movie.douban.com/review/7697620/,40,1,0,1,2015,12,20,17,38,53
http://movie.douban.com/review/7697888/,50,4,1,2,2015,12,20,20,48,21
http://movie.douban.com/review/7703096/,50,3,0,0,2015,12,24,21,37,17
http://movie.douban.com/review/7703980/,40,1,0,2,2015,12,25,14,12,45
http://movie.douban.com/review/7703818/,40,1,0,0,2015,12,25,12,21,10
http://movie.douban.com/review/7699166/,10,14,7,20,2015,12,21,18,35,42
http://movie.douban.com/review/7697449/,30,4,1,0,2015,12,20,15,35,5
http://movie.douban.com/review/7699426/,40,6,0,1,2015,12,21,22,26,24
http://movie.douban.com/review/7695748/,40,6,1,1,2015,12,18,22,0,23
http://movie.douban.com/review/7695926/,40,12,6,3,2015,12,19,0,12,37
http://movie.douban.com/review/7693435/,40,34,5,4,2015,12,16,20,49,0
http://movie.douban.com/review/7695450/,50,7,1,2,2015,12,18,16,59,20
http://movie.douban.com/review/7701439/,40,1,0,1,2015,12,23,15,29,7
http://movie.douban.com/review/7701571/,40,1,0,0,2015,12,23,16,55,32
http://movie.douban.com/review/7706461/,40,1,0,0,2015,12,26,23,2,9
http://movie.douban.com/review/7706407/,40,1,0,0,2015,12,26,22,42,11
http://movie.douban.com/review/7706153/,50,0,0,0,2015,12,26,21,16,17
http://movie.douban.com/review/7698107/,40,4,1,0,2015,12,20,22,50,47
http://movie.douban.com/review/7698283/,50,7,1,1,2015,12,21,0,45,9
http://movie.douban.com/review/7706658/,50,1,0,0,2015,12,27,0,25,41
http://movie.douban.com/review/7708193/,40,0,0,0,2015,12,27,22,29,58
http://movie.douban.com/review/7708101/,50,0,0,0,2015,12,27,22,1,34
http://movie.douban.com/review/7707697/,50,0,0,0,2015,12,27,18,24,9
http://movie.douban.com/review/7699600/,40,5,2,5,2015,12,22,0,38,33
http://movie.douban.com/review/7696537/,40,9,2,8,2015,12,19,18,52,4
http://movie.douban.com/review/7697585/,40,4,0,0,2015,12,20,17,4,15
http://movie.douban.com/review/7697131/,10,43,20,12,2015,12,20,8,58,18
http://movie.douban.com/review/7702381/,50,2,0,0,2015,12,24,11,32,48
http://movie.douban.com/review/7695949/,50,16,6,4,2015,12,19,0,33,8
http://movie.douban.com/review/7695140/,50,2,0,4,2015,12,18,13,25,8
http://movie.douban.com/review/7700129/,40,2,0,3,2015,12,22,15,28,26
http://movie.douban.com/review/7702273/,20,4,2,4,2015,12,24,10,1,19
http://movie.douban.com/review/7695836/,40,4,0,0,2015,12,18,22,57,26
http://movie.douban.com/review/7700893/,40,0,0,0,2015,12,23,1,20,51
http://movie.douban.com/review/7699328/,40,8,2,1,2015,12,21,21,24,46
http://movie.douban.com/review/7695932/,50,34,13,7,2015,12,19,0,19,53
http://movie.douban.com/review/7695888/,50,19,2,7,2015,12,18,23,47,29
http://movie.douban.com/review/7698325/,50,2,0,0,2015,12,21,2,21,55
http://movie.douban.com/review/7698253/,50,2,0,0,2015,12,21,0,18,45
http://movie.douban.com/review/7707593/,30,1,0,1,2015,12,27,17,15,58
http://movie.douban.com/review/7696642/,40,1,0,0,2015,12,19,20,31,30
http://movie.douban.com/review/7696722/,40,1,0,4,2015,12,19,21,27,36
http://movie.douban.com/review/7697853/,40,1,0,0,2015,12,20,20,26,46
http://movie.douban.com/review/7697648/,50,0,0,0,2015,12,20,18,9,26
http://movie.douban.com/review/7697659/,40,1,0,0,2015,12,20,18,19,45
http://movie.douban.com/review/7697727/,30,1,1,0,2015,12,20,19,6,34
http://movie.douban.com/review/7697495/,50,0,0,0,2015,12,20,15,59,12
http://movie.douban.com/review/7697092/,40,1,0,0,2015,12,20,2,55,39
http://movie.douban.com/review/7697249/,30,1,0,1,2015,12,20,12,15,25
http://movie.douban.com/review/7697210/,40,2,0,0,2015,12,20,11,16,20
http://movie.douban.com/review/7698368/,40,7,1,2,2015,12,21,8,53,47
http://movie.douban.com/review/7695542/,50,11,1,1,2015,12,18,18,13,6
http://movie.douban.com/review/7704002/,10,6,2,5,2015,12,25,14,26,28
http://movie.douban.com/review/7703063/,30,0,0,0,2015,12,24,21,10,1
http://movie.douban.com/review/7702952/,30,0,0,0,2015,12,24,19,40,43
http://movie.douban.com/review/7702938/,30,0,0,0,2015,12,24,19,29,12
http://movie.douban.com/review/7702821/,40,2,0,1,2015,12,24,17,27,46
http://movie.douban.com/review/7703429/,50,2,0,3,2015,12,25,2,10,0
http://movie.douban.com/review/7695972/,40,8,3,2,2015,12,19,0,58,32
http://movie.douban.com/review/7700200/,50,0,0,0,2015,12,22,16,16,33
http://movie.douban.com/review/7700751/,30,2,0,0,2015,12,22,23,7,58
http://movie.douban.com/review/7696759/,50,2,0,0,2015,12,19,21,52,19
http://movie.douban.com/review/7696839/,40,1,0,0,2015,12,19,22,32,42
http://movie.douban.com/review/7702333/,20,0,0,0,2015,12,24,10,50,21
http://movie.douban.com/review/7699143/,50,0,0,0,2015,12,21,18,13,11
http://movie.douban.com/review/7699202/,40,0,0,0,2015,12,21,19,16,9
http://movie.douban.com/review/7702106/,30,2,1,0,2015,12,24,0,36,44
http://movie.douban.com/review/7699088/,30,1,0,0,2015,12,21,17,26,24
http://movie.douban.com/review/7698968/,40,0,0,0,2015,12,21,16,17,56
http://movie.douban.com/review/7699121/,50,1,0,1,2015,12,21,17,56,50
http://movie.douban.com/review/7701658/,40,1,0,0,2015,12,23,18,29,31
http://movie.douban.com/review/7697446/,30,0,0,0,2015,12,20,15,34,21
http://movie.douban.com/review/7697445/,50,0,0,0,2015,12,20,15,33,55
http://movie.douban.com/review/7698013/,40,0,0,1,2015,12,20,22,3,51
http://movie.douban.com/review/7695901/,40,1,0,0,2015,12,18,23,55,49
http://movie.douban.com/review/7701525/,30,1,0,0,2015,12,23,16,24,21
http://movie.douban.com/review/7701246/,20,7,4,0,2015,12,23,12,42,35
http://movie.douban.com/review/7701463/,40,0,0,1,2015,12,23,15,47,47
http://movie.douban.com/review/7705165/,50,3,0,0,2015,12,26,10,27,10
http://movie.douban.com/review/7698266/,50,1,0,0,2015,12,21,0,30,33
http://movie.douban.com/review/7698200/,50,1,0,0,2015,12,20,23,35,19
http://movie.douban.com/review/7698199/,50,0,0,0,2015,12,20,23,35,16
http://movie.douban.com/review/7698260/,40,0,0,0,2015,12,21,0,27,49
http://movie.douban.com/review/7706526/,50,0,0,0,2015,12,26,23,30,4
http://movie.douban.com/review/7708198/,50,0,0,0,2015,12,27,22,30,47
http://movie.douban.com/review/7708168/,40,0,0,0,2015,12,27,22,22,52
http://movie.douban.com/review/7708156/,30,0,0,0,2015,12,27,22,17,5
http://movie.douban.com/review/7708154/,30,0,0,0,2015,12,27,22,16,59
http://movie.douban.com/review/7699546/,50,2,0,0,2015,12,21,23,38,58
http://movie.douban.com/review/7699558/,50,1,0,0,2015,12,21,23,45,4
http://movie.douban.com/review/7699838/,50,0,0,0,2015,12,22,10,50,22
http://movie.douban.com/review/7696397/,50,1,1,0,2015,12,19,16,23,30
http://movie.douban.com/review/7696469/,50,1,0,1,2015,12,19,17,40,58
http://movie.douban.com/review/7696701/,30,0,0,1,2015,12,19,21,9,36
http://movie.douban.com/review/7697824/,40,0,0,2,2015,12,20,20,7,42
http://movie.douban.com/review/7697548/,40,2,0,0,2015,12,20,16,39,50
http://movie.douban.com/review/7698783/,30,0,0,0,2015,12,21,14,29,5
http://movie.douban.com/review/7697303/,40,0,0,0,2015,12,20,13,15,10
http://movie.douban.com/review/7697301/,30,3,2,0,2015,12,20,13,14,21
http://movie.douban.com/review/7698464/,40,0,0,0,2015,12,21,10,29,39
http://movie.douban.com/review/7698357/,50,0,0,0,2015,12,21,8,31,0
http://movie.douban.com/review/7698395/,20,0,0,0,2015,12,21,9,25,27
http://movie.douban.com/review/7697890/,40,0,0,0,2015,12,20,20,49,54
http://movie.douban.com/review/7704540/,50,2,0,0,2015,12,25,21,4,25
http://movie.douban.com/review/7704240/,50,1,0,0,2015,12,25,16,51,21
http://movie.douban.com/review/7703209/,40,1,0,2,2015,12,24,22,53,30
http://movie.douban.com/review/7703208/,40,1,0,0,2015,12,24,22,52,57
http://movie.douban.com/review/7703168/,50,2,0,0,2015,12,24,22,20,5
http://movie.douban.com/review/7702901/,50,4,0,0,2015,12,24,18,28,32
http://movie.douban.com/review/7702868/,30,0,0,0,2015,12,24,17,56,1
http://movie.douban.com/review/7702812/,40,0,0,0,2015,12,24,17,23,42
http://movie.douban.com/review/7702606/,40,2,0,0,2015,12,24,14,50,21
http://movie.douban.com/review/7702437/,40,1,0,0,2015,12,24,12,21,3
http://movie.douban.com/review/7703817/,40,0,0,0,2015,12,25,12,20,34
http://movie.douban.com/review/7703676/,30,0,0,0,2015,12,25,10,51,0
http://movie.douban.com/review/7696198/,40,0,0,1,2015,12,19,12,16,23
http://movie.douban.com/review/7696217/,40,3,0,7,2015,12,19,12,46,54
http://movie.douban.com/review/7696206/,50,4,0,1,2015,12,19,12,32,36
http://movie.douban.com/review/7702032/,30,0,0,0,2015,12,23,23,30,36
http://movie.douban.com/review/7701891/,30,0,0,1,2015,12,23,22,8,19
http://movie.douban.com/review/7702027/,30,0,0,1,2015,12,23,23,27,57
http://movie.douban.com/review/7700183/,50,1,0,0,2015,12,22,16,4,2
http://movie.douban.com/review/7700725/,40,1,1,1,2015,12,22,22,52,46
http://movie.douban.com/review/7700619/,40,0,0,1,2015,12,22,22,3,40
http://movie.douban.com/review/7700498/,50,1,0,0,2015,12,22,20,27,11
http://movie.douban.com/review/7700345/,30,0,0,0,2015,12,22,18,9,28
http://movie.douban.com/review/7702294/,30,0,0,0,2015,12,24,10,19,44
http://movie.douban.com/review/7699175/,40,1,0,5,2015,12,21,18,48,39
http://movie.douban.com/review/7701023/,50,5,1,0,2015,12,23,9,44,49
http://movie.douban.com/review/7700927/,40,0,0,0,2015,12,23,3,40,22
http://movie.douban.com/review/7696939/,50,1,1,0,2015,12,19,23,33,34
http://movie.douban.com/review/7697026/,30,2,0,1,2015,12,20,0,46,54
http://movie.douban.com/review/7699068/,50,2,0,0,2015,12,21,17,9,54
http://movie.douban.com/review/7697395/,40,0,0,0,2015,12,20,14,52,26
http://movie.douban.com/review/7697942/,40,0,0,0,2015,12,20,21,16,36
http://movie.douban.com/review/7695422/,50,3,1,0,2015,12,18,16,35,29
http://movie.douban.com/review/7699524/,50,2,0,0,2015,12,21,23,29,13
http://movie.douban.com/review/7696506/,40,4,2,0,2015,12,19,18,19,59
http://movie.douban.com/review/7696485/,40,1,0,0,2015,12,19,17,58,12
http://movie.douban.com/review/7698046/,40,21,7,6,2015,12,20,22,19,57
http://movie.douban.com/review/7698065/,40,1,0,0,2015,12,20,22,29,34
http://movie.douban.com/review/7697979/,40,0,0,0,2015,12,20,21,43,35
http://movie.douban.com/review/7701367/,50,0,0,0,2015,12,23,14,29,7
http://movie.douban.com/review/7701203/,30,0,0,0,2015,12,23,11,40,8
http://movie.douban.com/review/7701391/,30,0,0,0,2015,12,23,14,50,59
http://movie.douban.com/review/7701390/,30,0,0,0,2015,12,23,14,50,55
http://movie.douban.com/review/7706255/,30,0,0,0,2015,12,26,21,53,3
http://movie.douban.com/review/7705790/,30,0,0,0,2015,12,26,17,15,15
http://movie.douban.com/review/7705660/,40,6,0,5,2015,12,26,16,12,4
http://movie.douban.com/review/7705500/,50,0,0,0,2015,12,26,14,40,1
http://movie.douban.com/review/7705429/,20,0,0,0,2015,12,26,13,55,15
http://movie.douban.com/review/7698263/,40,0,0,0,2015,12,21,0,29,5
http://movie.douban.com/review/7698233/,50,0,0,0,2015,12,20,23,58,32
http://movie.douban.com/review/7706725/,40,0,0,0,2015,12,27,1,6,41
http://movie.douban.com/review/7707170/,40,0,0,0,2015,12,27,12,50,8
http://movie.douban.com/review/7706898/,40,0,0,0,2015,12,27,7,56,36
http://movie.douban.com/review/7706657/,50,0,0,0,2015,12,27,0,25,38
http://movie.douban.com/review/7706910/,40,1,0,0,2015,12,27,8,41,7
http://movie.douban.com/review/7695632/,50,3,0,0,2015,12,18,20,32,48
http://movie.douban.com/review/7695623/,40,1,1,0,2015,12,18,20,15,34
http://movie.douban.com/review/7700007/,40,0,0,0,2015,12,22,13,39,23
http://movie.douban.com/review/7700064/,30,2,0,0,2015,12,22,14,33,40
http://movie.douban.com/review/7696429/,30,2,2,0,2015,12,19,17,0,11
http://movie.douban.com/review/7696348/,50,1,0,0,2015,12,19,15,35,55
http://movie.douban.com/review/7696543/,40,0,0,0,2015,12,19,18,57,32
http://movie.douban.com/review/7696584/,50,2,1,0,2015,12,19,19,48,14
http://movie.douban.com/review/7697661/,50,6,0,0,2015,12,20,18,23,41
http://movie.douban.com/review/7697704/,40,2,0,0,2015,12,20,18,47,31
http://movie.douban.com/review/7697857/,50,1,0,0,2015,12,20,20,31,30
http://movie.douban.com/review/7697508/,40,0,0,0,2015,12,20,16,10,45
http://movie.douban.com/review/7697735/,50,1,0,0,2015,12,20,19,10,38
http://movie.douban.com/review/7697507/,40,0,0,0,2015,12,20,16,10,45
http://movie.douban.com/review/7697716/,50,1,0,0,2015,12,20,18,58,16
http://movie.douban.com/review/7697509/,40,0,0,0,2015,12,20,16,10,45
http://movie.douban.com/review/7697202/,20,7,2,3,2015,12,20,11,9,46
http://movie.douban.com/review/7697328/,40,0,0,0,2015,12,20,13,48,2
http://movie.douban.com/review/7698544/,30,0,0,0,2015,12,21,11,30,19
http://movie.douban.com/review/7698463/,50,0,0,1,2015,12,21,10,27,54
http://movie.douban.com/review/7704742/,50,0,0,0,2015,12,25,23,12,13
http://movie.douban.com/review/7704383/,40,0,0,0,2015,12,25,18,34,18
http://movie.douban.com/review/7704307/,40,0,0,0,2015,12,25,17,23,32
http://movie.douban.com/review/7704257/,30,1,0,0,2015,12,25,17,0,7
http://movie.douban.com/review/7704256/,30,0,0,0,2015,12,25,17,0,3
http://movie.douban.com/review/7702838/,40,0,0,0,2015,12,24,17,37,36
http://movie.douban.com/review/7702590/,40,0,0,0,2015,12,24,14,38,55
http://movie.douban.com/review/7702501/,40,1,0,0,2015,12,24,13,34,34
http://movie.douban.com/review/7703695/,40,1,0,0,2015,12,25,11,3,16
http://movie.douban.com/review/7703682/,30,0,0,0,2015,12,25,10,55,23
http://movie.douban.com/review/7703559/,50,0,0,0,2015,12,25,9,26,11
http://movie.douban.com/review/7703335/,40,0,0,0,2015,12,25,0,20,38
http://movie.douban.com/review/7703314/,30,0,0,0,2015,12,25,0,3,0
http://movie.douban.com/review/7703308/,50,0,0,0,2015,12,24,23,58,2
http://movie.douban.com/review/7695954/,30,2,0,4,2015,12,19,0,37,36
http://movie.douban.com/review/7695998/,40,2,0,0,2015,12,19,1,52,41
http://movie.douban.com/review/7696009/,40,4,1,6,2015,12,19,3,2,17
http://movie.douban.com/review/7701781/,50,0,0,0,2015,12,23,20,31,48
http://movie.douban.com/review/7695333/,40,5,0,1,2015,12,18,15,38,36
http://movie.douban.com/review/7696728/,30,0,0,0,2015,12,19,21,32,56
http://movie.douban.com/review/7700187/,40,0,0,0,2015,12,22,16,6,57
http://movie.douban.com/review/7700685/,40,0,0,0,2015,12,22,22,30,9
http://movie.douban.com/review/7696883/,30,0,0,2,2015,12,19,23,4,26
http://movie.douban.com/review/7696914/,40,1,0,0,2015,12,19,23,19,30
